sale_id,date,sale_type,customer_name,product_name,size,quantity_sold
13159,2025-01-01,Retail,Family Mart,Black Pepper Powder,100g,10
13160,2025-01-01,Retail,Rathnayake Stores,Coriander Powder,250g,2
13161,2025-01-01,Retail,Gihan Super,Turmeric Powder,500g,6
13162,2025-01-01,Retail,Jagath Store,Chili Powder (Steam Less),1kg,9
13163,2025-01-01,Retail,Piyal Stores,Chili Powder (Steam Less),500g,12
13164,2025-01-01,Retail,Kalana Stores,Black Pepper Powder,250g,6
13165,2025-01-01,Retail,Family Mart,Chili Powder (Steam Less),250g,17
13166,2025-01-01,Retail,New City Stores,Black Pepper Powder,100g,15
13167,2025-01-01,Retail,Sewmi Stores,Coriander Powder,500g,20
13168,2025-01-01,Retail,Gihan Super,Chili Powder (Steam Less),100g,7
13169,2025-01-01,Retail,SonIro Mini Market,Chili Powder (Steam Less),250g,8
13170,2025-01-01,Retail,Ranjith Stores,Curry Powder,500g,5
13171,2025-01-01,Retail,Rathnayake Stores,Black Pepper Powder,500g,16
13172,2025-01-01,Retail,Gihan Super,Turmeric Powder,1kg,13
13173,2025-01-01,Retail,Pallapitiya Stores,Curry Powder,250g,17
13174,2025-01-01,Retail,Village Mart,Curry Powder,250g,6
13175,2025-01-01,Retail,CO-OP Big City Kuliyapitiya,Curry Powder,250g,19
13176,2025-01-01,Wholesale,Rancrisp,Curry Powder,1kg,107
13177,2025-01-02,Retail,Gihan Super,Chili Powder (Steam Less),50g,11
13178,2025-01-02,Retail,Family Mart,Curry Powder,1kg,4
13179,2025-01-02,Retail,Jagath Store,Coriander Powder,100g,9
13180,2025-01-02,Retail,Sewmi Stores,Turmeric Powder,50g,18
13181,2025-01-02,Retail,Gothama Stores,Turmeric Powder,100g,4
13182,2025-01-02,Retail,Jagath Store,Coriander Powder,1kg,13
13183,2025-01-02,Retail,Yohan Super,Curry Powder,500g,9
13184,2025-01-02,Retail,New City Stores,Coriander Powder,25g,20
13185,2025-01-02,Retail,Jagath Store,Turmeric Powder,250g,5
13186,2025-01-02,Retail,CO-OP Big City Kuliyapitiya,Curry Powder,50g,8
13187,2025-01-02,Retail,Italian Mart Kuliyapitiya,Turmeric Powder,1kg,19
13188,2025-01-02,Retail,Shantha Super Stores,Turmeric Powder,250g,1
13189,2025-01-02,Retail,Sewmi Stores,Turmeric Powder,50g,7
13190,2025-01-02,Retail,Kalana Stores,Coriander Powder,500g,18
13191,2025-01-02,Retail,Village Mart,Black Pepper Powder,25g,19
13192,2025-01-02,Retail,Village Mart,Coriander Powder,250g,3
13193,2025-01-02,Wholesale,Arpico Super Centre,Chili Powder (Steam Less),100g,265
13194,2025-01-02,Retail,Gothama Stores,Black Pepper Powder,100g,9
13195,2025-01-03,Wholesale,Restaurant Suppliers Lanka,Black Pepper Powder,50g,294
13196,2025-01-03,Retail,Kalana Stores,Chili Powder (Steam Less),50g,15
13197,2025-01-03,Retail,Kuliyapitiya Stores,Turmeric Powder,100g,13
13198,2025-01-03,Retail,Pragathi Stores,Curry Powder,100g,13
